ce.colour;yellow;;;;;;;;;;;;;;;;
active.colour;orangered;;;;;;;;;;;;;;;;
aids.colour;springgreen;;;;;;;;;;;;;;;;
visible.colour;lightgrey;;;;;;;;;;;;;;;;
highlight.colour;brightred;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;8;9;10;;;;;;;;
rule.name;rule.rule;rule.types;rule.description;transparency;edgeOn;colour;R;G;B;RGB;sort number;;;;;;
Rule for all PPA piping branches;SUBSTR ( NAME OF SITE, 1 , 6) INSET( '/PTEIA','/PTEIB','/PTEIC','/PTEHA','/PTEHB','/PTEHC');EQUI;Rule for all PPA piping branches;0;FALSE;pink;;;;;37;;;;;;
EQUI INSU;UPCASE(SUBSTR(PART(NAME,3,'/'),1,4)) EQ 'INSU';SUBE;EQUI INSU;50;FALSE;springgreen;;;;;38;;;;;;
EQUI INSU;PURP EQ 'INSU';SUBE;EQUI INSU;50;FALSE;springgreen;;;;;39;;;;;;
Equipment New;PURP OF ZONE EQ 'CLIE';SUBE;Equipment New;0;FALSE;green;;;;;40;;;;;;
Equipment Existing;PURP OF ZONE EQ 'EXIS';SUBE;Equipment Existing;0;FALSE;;;;;;41;;;;;;
Equipment Foundation;PURP EQ 'FOUN' AND PURP OF ZONE EQ 'EQUI';SUBE;Equipment Foundation;0;FALSE;;;;;;42;;;;;;
Equipment Motors;PURP EQ 'MOTO' AND PURP OF ZONE EQ 'EQUI';SUBE;Equipment Motors;0;FALSE;;;;;;43;;;;;;
Equipment New;PURP OF ZONE EQ 'EQUI';SUBE;Equipment New;0;FALSE;;;;;;44;;;;;;
Concrete Beams and Colums;PURP EQ 'BEAM' OR PURP EQ 'COLU';SBFR FRMW;Concrete Beams and Colums;0;FALSE;;;;;;45;;;;;;
Roads;PURP EQ 'CURB';SBFR FRMW SUBE;Roads;0;FALSE;;;;;;46;;;;;;
